iter	Passed	Remaining
813	1628	372
814	1631	370
815	1633	368
816	1634	366
817	1636	364
818	1638	362
819	1640	360
820	1642	358
821	1644	356
822	1646	354
823	1648	352
824	1650	350
825	1652	348
826	1654	346
827	1656	344
828	1658	342
829	1660	340
830	1662	338
831	1664	336
832	1666	334
833	1668	332
834	1669	329
835	1672	328
836	1674	326
837	1675	323
838	1677	321
839	1679	319
840	1681	317
841	1683	315
842	1684	313
843	1686	311
844	1688	309
845	1690	307
846	1692	305
847	1693	303
848	1695	301
849	1697	299
850	1699	297
851	1701	295
852	1703	293
853	1705	291
854	1707	289
855	1709	287
856	1711	285
857	1712	283
858	1714	281
859	1716	279
860	1718	277
861	1720	275
862	1722	273
863	1724	271
864	1725	269
865	1727	267
866	1729	265
867	1731	263
868	1733	261
869	1735	259
870	1738	257
871	1740	255
872	1742	253
873	1744	251
874	1746	249
875	1748	247
876	1750	245
877	1753	243
878	1755	241
879	1757	239
880	1759	237
881	1761	235
882	1762	233
883	1764	231
884	1766	229
885	1768	227
886	1770	225
887	1772	223
888	1773	221
889	1775	219
890	1777	217
891	1779	215
892	1781	213
893	1782	211
894	1784	209
895	1786	207
896	1787	205
897	1789	203
898	1791	201
899	1793	199
900	1795	197
901	1797	195
902	1799	193
903	1801	191
904	1803	189
905	1805	187
906	1807	185
907	1808	183
908	1810	181
909	1812	179
910	1814	177
911	1816	175
912	1817	173
913	1819	171
914	1821	169
915	1823	167
916	1824	165
917	1826	163
918	1828	161
919	1830	159
920	1831	157
921	1833	155
922	1835	153
923	1837	151
924	1839	149
925	1841	147
926	1843	145
927	1844	143
928	1846	141
929	1849	139
930	1850	137
931	1852	135
932	1854	133
933	1856	131
934	1858	129
935	1859	127
936	1861	125
937	1863	123
938	1865	121
939	1867	119
940	1869	117
941	1870	115
942	1872	113
943	1874	111
944	1877	109
945	1878	107
946	1880	105
947	1882	103
948	1884	101
949	1886	99
950	1887	97
951	1889	95
952	1891	93
953	1892	91
954	1894	89
955	1896	87
956	1898	85
957	1899	83
958	1901	81
959	1903	79
960	1904	77
961	1906	75
962	1908	73
963	1910	71
964	1911	69
965	1913	67
966	1915	65
967	1916	63
968	1918	61
969	1920	59
970	1922	57
971	1924	55
972	1925	53
973	1927	51
974	1929	49
975	1932	47
976	1934	45
977	1936	43
978	1938	41
979	1940	39
980	1942	37
981	1944	35
982	1946	33
983	1948	31
984	1949	29
985	1951	27
986	1953	25
987	1955	23
988	1957	21
989	1959	19
990	1960	17
991	1962	15
992	1964	13
993	1966	11
994	1968	9
995	1969	7
996	1971	5
997	1973	3
998	1975	1
999	1976	0
